user_id,expire_month,expire_year,card_number,cvc,payment_method
fa3a6109-88aa-4f6a-9eb9-9f243c61c58e,1,2021,4.72E+15,153,Credit
9a374ade-25d6-4a64-b4be-f2169c5030e6,3,2022,4.92E+15,342,Debit
0267db00-52d6-4fb7-81c4-c2c75ecf0c88,5,2019,4.49E+15,731,Credit
14adea89-acb2-4c1f-9332-0dffb978b52b,6,2022,4.93E+15,342,Credit
38b2073b-3e79-4aec-bb70-c72349e8bad6,2,2023,4.54E+15,567,Credit
5b4623e1-3f59-4c8c-9533-be32127af410,6,2023,4.56E+15,988,Debit
86a4b925-c860-4fa8-8244-615faf79402a,7,2021,4.55E+15,445,Debit
f2b659f3-4b2e-4957-bf5e-6da1ba1c9ecd,1,2026,4.92E+15,231,Debit 
f1774b09-34f5-4a2e-bef1-463782b1d143,2,2024,4.49E+15,886,Credit
67b9ed5c-dbce-4d42-bff4-7373dab7fd91,4,2022,4.72E+15,233,Debit
